
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:49665             [::]:0                 LISTENING       8
  TCP    [::]:49666             [::]:0                 LISTENING       1972
  TCP    [::]:49667             [::]:0                 LISTENING       3160
  TCP    [::]:49668             [::]:0                 LISTENING       3256
  TCP    [::]:49669             [::]:0                 LISTENING       5772
  TCP    [::]:49679             [::]:0                 LISTENING       1108
  TCP    [::]:49687             [::]:0                 LISTENING       4740
  TCP    [::]:56332             [::]:0                 LISTENING       21548
  TCP    [::]:57470             [::]:0                 LISTENING       21628
  TCP    [::1]:5173             [::]:0                 LISTENING       16780
  TCP    [::1]:5173             [::1]:56631            ESTABLISHED     16780
  TCP    [::1]:8080             [::1]:55641            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:55642            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:55643            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:55644            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:55645            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:55646            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:55677            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:55678            FIN_WAIT_2      7724
  TCP    [::1]:8080             [::1]:55682            ESTABLISHED     7724
  TCP    [::1]:8080             [::1]:55750            FIN_WAIT_2      7724
  TCP    [::1]:8080             [::1]:55751            FIN_WAIT_2      7724
  TCP    [::1]:8080             [::1]:55752            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:55753            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:58218            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:58219            TIME_WAIT       0
  TCP    [::1]:8080             [::1]:58220            TIME_WAIT       0
  TCP    [::1]:42050            [::]:0                 LISTENING       8860
  TCP    [::1]:49328            [::1]:9229             SYN_SENT        19856
  TCP    [::1]:49670            [::]:0                 LISTENING       6004
  TCP    [::1]:55678            [::1]:8080             CLOSE_WAIT      2496
  TCP    [::1]:55682            [::1]:8080             ESTABLISHED     2496
  TCP    [::1]:55750            [::1]:8080             CLOSE_WAIT      2496
  TCP    [::1]:55751            [::1]:8080             CLOSE_WAIT      2496
  TCP    [::1]:56631            [::1]:5173             ESTABLISHED     14288
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:51054  [2a03:2880:f285:d0:face:b00c:0:167]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:52657  [2a0e:a180::140]:443   ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55630  [2a03:2880:f315:120:face:b00c:0:167]:5222  ESTABLISHED     8708
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55650  [2001:4860:4802:36::223]:443  ESTABLISHED     11044
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55653  [2404:6800:4009:805::2001]:443  TIME_WAIT       0
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55662  [2001:4860:4802:38::223]:443  TIME_WAIT       0
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55663  [2001:4860:4802:38::223]:443  ESTABLISHED     11044
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55698  [2a03:2880:f315:120:face:b00c:0:167]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55721  [2600:9000:264e:fc00:12:5a84:d5c0:93a1]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55722  [2a04:4e42:400::729]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55726  [2600:9000:264e:fc00:12:5a84:d5c0:93a1]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55727  [2001:4860:4802:34::223]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55728  [2602:816:5001::39]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:55735  [2405:200:1630:da6::523]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:57578  [2603:1040:401:e::16e]:443  ESTABLISHED     17488
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:58460  [2606:4700:9ae2:3352:b3dd:db3:a591:69da]:443  ESTABLISHED     28068
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:58986  [2407:30c0:182::aa72:3453]:443  CLOSE_WAIT      20728
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:59582  [2001:4860:4802:32::223]:443  ESTABLISHED     11044
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:59685  [2001:4860:4802:32::223]:443  ESTABLISHED     27672
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:59686  [2001:4860:4802:36::223]:443  ESTABLISHED     27672
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:60094  [2001:4860:4802:32::223]:443  ESTABLISHED     27672
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:60112  [2001:4860:4802:36::223]:443  ESTABLISHED     27672
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:60113  [2404:6800:4009:805::2001]:443  TIME_WAIT       0
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:60612  [2600:1f16:2b2:6e09:cd44:5a26:472f:ac10]:443  CLOSE_WAIT      1720
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:60629  [2603:1040:a06:6::1]:443  ESTABLISHED     6176
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:61677  [2606:4700:9ae1:d8b7:9ade:db3:ccf5:ac50]:443  ESTABLISHED     2496
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:61710  [2001:4860:4802:32::223]:443  ESTABLISHED     11044
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:61711  [2001:4860:4802:32::223]:443  TIME_WAIT       0
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:61805  [2603:1063:5:12b::365:7ea3]:443  ESTABLISHED     17488
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:62043  [2001:4860:4802:32::223]:443  ESTABLISHED     27672
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:63362  [2407:30c0:182::aa72:3453]:443  CLOSE_WAIT      1720
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:63479  [2600:1f16:1782:b200:77c4:b675:c454:9cf3]:443  ESTABLISHED     1720
  TCP    [2405:201:c40c:7099:427:363:1d23:a9d6]:65465  [2404:6800:4003:c01::bc]:5228  ESTABLISHED     2496
  UDP    0.0.0.0:123            *:*                                    6344
  UDP    0.0.0.0:500            *:*                                    4748
  UDP    0.0.0.0:3389           *:*                                    1736
  UDP    0.0.0.0:4500           *:*                                    4748
  UDP    0.0.0.0:5050           *:*                                    11212
  UDP    0.0.0.0:5353           *:*                                    19856
  UDP    0.0.0.0:5353           *:*                                    27500
  UDP    0.0.0.0:5353           *:*                                    2496
  UDP    0.0.0.0:5353           *:*                                    3064
  UDP    0.0.0.0:5353           *:*                                    2496
  UDP    0.0.0.0:5353           *:*                                    19856
  UDP    0.0.0.0:5353           *:*                                    27500
  UDP    0.0.0.0:5355           *:*                                    3064
  UDP    0.0.0.0:50001          *:*                                    5892
  UDP    0.0.0.0:50082          *:*                                    4512
  UDP    0.0.0.0:52028          0.0.32.3:443                           2496
  UDP    0.0.0.0:53709          *:*                                    3064
  UDP    0.0.0.0:54858          *:*                                    1720
  UDP    0.0.0.0:59881          0.0.32.14:443                          2496
  UDP    127.0.0.1:1900         *:*                                    19824
  UDP    127.0.0.1:49664        127.0.0.1:49664                        5912
  UDP    127.0.0.1:51810        *:*                                    19824
  UDP    192.168.29.20:137      *:*                                    4
  UDP    192.168.29.20:138      *:*                                    4
  UDP    192.168.29.20:1900     *:*                                    19824
  UDP    192.168.29.20:2177     *:*                                    8180
  UDP    192.168.29.20:5353     *:*                                    1720
  UDP    192.168.29.20:51809    *:*                                    19824
  UDP    [::]:123               *:*                                    6344
  UDP    [::]:500               *:*                                    4748
  UDP    [::]:3389              *:*                                    1736
  UDP    [::]:4500              *:*                                    4748
  UDP    [::]:5353              *:*                                    2496
  UDP    [::]:5353              *:*                                    3064
  UDP    [::]:5353              *:*                                    27500
  UDP    [::]:5353              *:*                                    19856
  UDP    [::]:5355              *:*                                    3064
  UDP    [::]:50082             *:*                                    4512
  UDP    [::]:52028             [2404:6800:4009:824::2003]:443                  2496
  UDP    [::]:53709             *:*                                    3064
  UDP    [::]:54859             *:*                                    1720
  UDP    [::]:59881             [2404:6800:4002:829::200e]:443                  2496
  UDP    [::1]:1900             *:*                                    19824
  UDP    [::1]:5353             *:*                                    1720
  UDP    [::1]:51808            *:*                                    19824
  UDP    [2405:201:c40c:7099:427:363:1d23:a9d6]:2177  *:*                                    8180
  UDP    [2405:201:c40c:7099:94c9:1373:92bc:7281]:2177  *:*                                    8180
  UDP    [fe80::4d21:5e7b:94a6:f6c2%10]:1900  *:*                                    19824
  UDP    [fe80::4d21:5e7b:94a6:f6c2%10]:2177  *:*                                    8180
  UDP    [fe80::4d21:5e7b:94a6:f6c2%10]:51807  *:*                                    19824
